name,date,country,genre,rating,rating_count,kind,link,subscription,audio,subtitles,description
Учитель на замену,2011,США,драма,7.8,98462,film,https://www.kinopoisk.ru/film/535337/,По подписке Плюс,0,0,0
Паук,2015,Россия,"детектив, криминал",7.8,15339,film,https://www.kinopoisk.ru/film/861662/,По подписке Плюс,0,0,0
Джонатан Стрендж и мистер Норрелл,2015–2015,Великобритания,фэнтези,7.8,18198,serial,https://www.kinopoisk.ru/film/807474/,По подписке Плюс,0,0,0
Кровавый алмаз,2006,"США, Германия","триллер, драма",7.8,104571,film,https://www.kinopoisk.ru/film/102376/,online,0,0,0
Через Вселенную,2007,"США, Великобритания","мюзикл, мелодрама",7.8,28336,film,https://www.kinopoisk.ru/film/102531/,online,0,0,0
Фаворит,2003,США,"драма, спорт",7.8,18669,film,https://www.kinopoisk.ru/film/2976/,online,0,0,0
Лига справедливости Зака Снайдера: Черно-белая версия,2021,США,"фантастика, боевик",7.8,16738,film,https://www.kinopoisk.ru/film/4404112/,По подписке Плюс,0,0,0
Котенок с улицы Лизюкова,1988,СССР,"мультфильм, детский",7.8,21534,film,https://www.kinopoisk.ru/film/260076/,По подписке Плюс,0,0,0
Чебурашка идет в школу,1983,СССР,"мультфильм, детский",7.8,12932,film,https://www.kinopoisk.ru/film/230228/,По подписке Плюс,0,0,0
Не пойман – не вор,2006,США,"триллер, драма",7.8,139523,film,https://www.kinopoisk.ru/film/103785/,online,0,0,0
Крещение Руси,2016,Россия,документальный,7.8,943,film,https://www.kinopoisk.ru/film/1177499/,По подписке Плюс,0,0,0
Эрин Брокович,2000,США,"драма, биография",7.8,66959,film,https://www.kinopoisk.ru/film/661/,По подписке Плюс,0,0,0
Город мастеров,1965,СССР,"фэнтези, приключения",7.8,2924,film,https://www.kinopoisk.ru/film/44567/,По подписке Плюс,0,0,0
Зебра в клеточку,2020,Россия,"мультфильм, детский",7.8,687,film,https://www.kinopoisk.ru/film/1363323/,По подписке Плюс,0,0,0
Крепость Бадабер,2018,Россия,"драма, военный",7.8,13115,film,https://www.kinopoisk.ru/film/1048576/,По подписке Плюс,0,0,0
Воин,2019–,США,"боевик, драма",7.8,8806,serial,https://www.kinopoisk.ru/film/1219257/,По подписке Плюс Мульти с Амедиатекой,0,0,0
Вершки и корешки,1974,СССР,"мультфильм, короткометражка",7.8,6317,film,https://www.kinopoisk.ru/film/257921/,По подписке Плюс,0,0,0
Следствие по телу,2011–2013,США,"драма, криминал",7.8,24727,serial,https://www.kinopoisk.ru/film/502178/,online,0,0,0
Нефть,2007,США,драма,7.8,102813,film,https://www.kinopoisk.ru/film/196604/,online,0,0,0
Конек-Горбунок,1975,СССР,"мультфильм, фэнтези",7.8,20449,film,https://www.kinopoisk.ru/film/44917/,По подписке Плюс,0,0,0
Малена,2000,"Италия, США","драма, мелодрама",7.8,77401,film,https://www.kinopoisk.ru/film/747/,online,0,0,0
Шапито-шоу: Уважение и сотрудничество,2011,Россия,комедия,7.8,13996,film,https://www.kinopoisk.ru/film/660895/,По подписке Плюс,0,0,0
"Ганзель, Гретель и Агентство Магии",2021,"Россия, США","мультфильм, комедия",7.8,25268,film,https://www.kinopoisk.ru/film/4312553/,По подписке Плюс,0,0,0
Эпоха кино,2019,США,документальный,7.8,811,film,https://www.kinopoisk.ru/film/1274488/,По подписке Плюс Мульти с Амедиатекой,0,0,0
Звездный крейсер 'Галактика',2003–2003,США,"фантастика, боевик",7.8,7860,serial,https://www.kinopoisk.ru/film/229162/,По подписке Плюс,0,0,0
Окраина,1998,Россия,драма,7.8,6470,film,https://www.kinopoisk.ru/film/40885/,По подписке Плюс,0,0,0
Приключения Реми,2018,"Франция, Бельгия","мелодрама, приключения",7.8,20707,film,https://www.kinopoisk.ru/film/1108571/,По подписке Плюс,0,0,0
Крепыш,1950,СССР,"мультфильм, детский",7.8,765,film,https://www.kinopoisk.ru/film/259915/,По подписке Плюс,0,0,0
10 причин моей ненависти,1999,США,"драма, мелодрама",7.8,106741,film,https://www.kinopoisk.ru/film/11130/,По подписке Плюс,0,0,0
12 обезьян,1995,США,"фантастика, триллер",7.8,127596,film,https://www.kinopoisk.ru/film/502/,По подписке Плюс,0,0,0
Чики,2020–2020,Россия,"драма, комедия",7.8,80921,serial,https://www.kinopoisk.ru/film/1312007/,По подписке Плюс с more.tv,0,0,0
Без лица,1997,США,"боевик, триллер",7.8,132156,film,https://www.kinopoisk.ru/film/4606/,По подписке Плюс,0,0,0
Дамбо,1941,США,"мультфильм, мюзикл",7.8,25277,film,https://www.kinopoisk.ru/film/8225/,online,0,0,0
Бег – это свобода,2015,"Швейцария, Франция","документальный, история",7.8,1525,film,https://www.kinopoisk.ru/film/895595/,По подписке Плюс,0,0,0
Золушка,1979,СССР,"мультфильм, детский",7.8,12089,film,https://www.kinopoisk.ru/film/45399/,По подписке Плюс,0,0,0
Жандарм женится,1968,"Франция, Италия","мелодрама, комедия",7.8,16864,film,https://www.kinopoisk.ru/film/94589/,По подписке Плюс,0,0,0
Трудные подростки,2019–,Россия,"драма, комедия",7.8,48164,serial,https://www.kinopoisk.ru/film/1311936/,По подписке Плюс с more.tv,0,0,0
